Marca de Tiempo, Uso de Memoria (%)
14:21:03, 86.6
14:21:04, 86.4
14:21:05, 86.3
14:21:06, 86.3
14:21:07, 86.3
14:21:08, 86.0
14:21:09, 86.0
14:21:10, 86.0
14:21:11, 86.0
14:21:12, 85.8
14:21:13, 85.9
14:21:14, 85.9
14:21:15, 86.0
14:21:16, 86.0
14:21:17, 86.0
14:21:18, 86.0
14:21:19, 85.9
14:21:20, 85.9
14:21:21, 85.9
14:21:22, 85.8
14:21:23, 85.5
14:21:24, 85.5
14:21:25, 85.5
14:21:26, 85.5
14:21:27, 85.5
14:21:28, 85.5
14:21:29, 85.5
14:21:30, 85.5
14:21:31, 85.5
14:21:32, 85.5
14:21:33, 85.5
14:21:34, 85.5
14:21:35, 85.5
14:21:36, 85.5
14:21:37, 85.5
14:21:38, 85.5
14:21:39, 85.5
14:21:41, 85.4
14:21:42, 85.5
14:21:43, 85.4
14:21:44, 85.4
14:21:45, 85.4
14:21:46, 85.4
14:21:47, 85.4
14:21:48, 85.5
14:21:49, 85.5
14:21:50, 85.5
14:21:51, 85.5
14:21:52, 85.4
14:21:53, 85.4
14:21:54, 85.4
14:21:55, 85.4
14:21:56, 85.4
14:21:57, 85.4
14:21:58, 85.4
14:21:59, 85.4
14:22:00, 85.4
14:22:01, 85.3
14:22:02, 85.4
14:22:03, 85.5
14:22:04, 85.8
14:22:05, 86.5
14:22:06, 86.5
14:22:07, 86.7
14:22:08, 86.7
14:22:09, 86.8
14:22:10, 86.7
14:22:11, 86.6
14:22:12, 86.6
14:22:13, 86.5
14:22:14, 86.5
14:22:15, 86.5
14:22:16, 86.5
14:22:17, 86.4
14:22:18, 86.4
14:22:19, 86.4
14:22:20, 86.4
14:22:21, 86.4
14:22:22, 86.4
14:22:23, 86.4
14:22:24, 86.4
14:22:25, 86.4
14:22:26, 86.4
14:22:27, 86.4
14:22:28, 86.5
14:22:29, 86.5
14:22:30, 86.5
14:22:31, 86.6
14:22:32, 86.5
14:22:33, 86.4
14:22:34, 86.3
14:22:35, 86.3
14:22:36, 86.3
14:22:37, 85.3
14:22:38, 85.3
14:22:39, 85.3
14:22:40, 85.3
14:22:41, 85.3
14:22:42, 85.3
14:22:43, 85.3
14:22:44, 85.3
14:22:45, 85.3
14:22:46, 85.3
14:22:47, 85.3
14:22:48, 85.3
14:22:49, 85.3
14:22:50, 85.3
14:22:51, 85.3
14:22:52, 85.3
14:22:53, 85.3
14:22:54, 85.3
14:22:55, 85.3
14:22:56, 85.3
14:22:57, 85.3
14:22:59, 85.3
14:23:00, 85.3
14:23:01, 85.3
14:23:02, 85.3
14:23:03, 85.3
14:23:04, 85.3
14:23:05, 85.3
14:23:06, 85.2
14:23:07, 85.2
14:23:08, 85.2
14:23:09, 85.3
14:23:10, 85.3
14:23:11, 85.3
14:23:12, 85.3
14:23:13, 85.3
14:23:14, 85.3
14:23:15, 85.3
14:23:16, 85.2
14:23:17, 85.2
14:23:18, 85.2
14:23:19, 85.2
14:23:20, 85.2
14:23:21, 85.2
14:23:22, 85.2
14:23:23, 85.2
14:23:24, 85.2
14:23:25, 85.2
14:23:26, 85.2
14:23:27, 85.2
14:23:28, 85.1
14:23:29, 85.1
14:23:30, 85.1
14:23:31, 85.2
14:23:32, 85.2
14:23:33, 85.1
14:23:34, 85.1
14:23:35, 85.1
14:23:36, 85.1
14:23:37, 85.1
14:23:38, 85.1
14:23:39, 85.1
14:23:40, 85.1
14:23:41, 85.1
14:23:42, 85.1
14:23:43, 85.1
14:23:44, 85.1
14:23:45, 85.1
14:23:46, 85.1
14:23:47, 85.1
14:23:48, 85.1
14:23:49, 85.1
14:23:50, 85.1
14:23:51, 85.1
14:23:52, 85.1
14:23:53, 85.1
14:23:54, 85.1
14:23:55, 85.2
14:23:56, 85.2
14:23:57, 85.2
14:23:58, 85.2
14:23:59, 85.2
14:24:00, 85.2
14:24:01, 85.2
14:24:02, 85.2
14:24:03, 85.2
14:24:04, 85.2
14:24:05, 85.2
14:24:06, 85.2
14:24:07, 85.2
14:24:08, 85.2
14:24:09, 85.1
14:24:10, 85.1
14:24:12, 85.0
14:24:13, 85.0
14:24:14, 85.1
14:24:15, 85.1
14:24:16, 85.1
14:24:17, 85.1
14:24:18, 85.1
14:24:19, 85.1
14:24:20, 85.1
14:24:21, 85.1
14:24:22, 85.1
14:24:23, 85.1
14:24:24, 85.1
14:24:25, 85.0
14:24:26, 85.1
14:24:27, 85.1
14:24:28, 85.1
14:24:29, 85.2
14:24:30, 85.3
14:24:31, 85.3
14:24:32, 85.1
14:24:33, 85.2
14:24:34, 85.1
14:24:35, 84.5
14:24:36, 83.9
14:24:37, 83.6
14:24:38, 83.6
14:24:39, 83.6
14:24:40, 83.6
14:24:41, 83.6
14:24:42, 83.6
14:24:43, 83.6
14:24:44, 83.6
14:24:45, 83.6
